"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"154",5,23,1,10000,0.966773,1.155815,1.097665,1.555617,0.955518,1.458841,1.739343,1.548512,0.511975,0.475936,"conf_6"
"155",5,23,1,50000,0.966773,1.155815,1.097665,1.373473,0.80864,1.210383,1.606656,1.087972,0.511975,0.475936,"conf_6"
"156",30,23,1,500,4.962158,6.174721,4.378788,4.645874,6.147933,5.360701,5.731781,5.5817,5.26557,4.174213,"conf_6"
"157",30,23,1,2000,1.430008,6.174721,4.378788,4.645874,6.147933,5.360701,5.731781,4.098865,5.26557,4.174213,"conf_6"
"158",30,23,1,5000,1.362754,5.240491,4.378788,3.883642,4.3785,1.008252,4.329485,2.412935,5.26557,4.174213,"conf_6"
"159",30,23,1,10000,1.362749,5.240491,4.378788,3.422415,4.151526,0.248776,3.773824,0.687465,3.736525,3.867389,"conf_6"
"160",30,23,1,50000,1.362749,3.356793,3.859912,3.422415,3.352556,0.24299,3.773824,0.687465,3.736525,3.83754,"conf_6"
"161",5,24,1,500,31.626311,43.050091,41.664654,20.511779,25.318103,18.344085,37.711427,27.99425,32.296224,41.551989,"conf_6"
"162",5,24,1,2000,31.625763,43.050091,41.664654,11.403944,25.316907,18.116257,37.711427,27.993739,32.296224,34.486342,"conf_6"
"163",5,24,1,5000,31.625763,24.589493,20.072148,11.403912,25.316907,18.116257,15.355926,27.993739,28.354933,21.857334,"conf_6"
"164",5,24,1,10000,31.625763,24.589493,12.487567,11.403912,25.316907,18.116257,15.355926,27.993739,15.55309,14.83148,"conf_6"
"165",5,24,1,50000,4.019094,24.589493,12.487566,11.403912,25.316907,18.116257,15.355926,27.993739,11.889945,14.83148,"conf_6"
"166",30,24,1,500,363.140204,353.629891,408.511568,309.917346,374.086055,391.300689,363.151859,363.756062,342.102696,349.474302,"conf_6"
"167",30,24,1,2000,363.140204,352.4386,408.511568,309.917346,374.086055,391.300689,186.759796,363.756062,176.755393,349.474302,"conf_6"
"168",30,24,1,5000,363.140204,222.301745,258.576053,288.862645,374.086055,387.982015,178.093651,363.756062,159.000395,349.474302,"conf_6"
"169",30,24,1,10000,363.140204,149.323419,209.10519,288.862645,374.086055,199.470891,178.09206,363.756062,158.972213,327.420775,"conf_6"
