"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"83",5,17,1,5000,0.018266,0.247008,0.848508,0.03784,2.71969,0.379204,1.509403,1.136639,0.085636,0.34352,0.010871,0,3.495192,0.182092,0.004092,4e-06,0.032864,0.004083,0.036906,0.00013,"conf_10"
"84",5,17,1,10000,0.017316,0.247008,0.070777,0.03784,0.000507,0.379204,0.720168,0.195206,0.085636,0.27663,0.010871,0,0.774068,0.182092,0.004092,0,1.5e-05,0.004083,2e-06,0,"conf_10"
"85",5,17,1,50000,0.017299,0.009979,0.070777,0.022898,8.6e-05,0.379204,0.713269,0.195206,0.0271,0.14945,0,0,7e-06,0,0.000105,0,2e-06,2e-06,2e-06,0,"conf_10"
"86",30,17,1,500,7.266394,5.279882,5.981534,5.952561,6.424013,8.471969,4.994996,5.812426,9.013036,6.088433,3.772508,5.43982,7.161491,5.228509,4.763362,3.939557,5.113241,4.499089,5.302305,4.714808,"conf_10"
"87",30,17,1,2000,4.66028,2.777666,4.079404,4.531776,4.190678,6.001345,2.978263,3.816881,5.694437,3.768823,0.115093,0.621161,2.380393,0.225443,0.315336,0.27007,0.105115,0.101949,0.815727,0.129711,"conf_10"
"88",30,17,1,5000,4.629109,2.73575,3.972136,4.457738,4.157555,5.94517,2.949988,3.785412,5.621911,3.730417,0.018923,0.350689,2.063168,0.011268,0.026587,0.054863,0.002647,0.013797,0.595845,0.005048,"conf_10"
"89",30,17,1,10000,4.609626,2.688812,3.97117,4.457668,4.147873,5.885586,2.94998,3.785406,5.614687,3.730364,0.0185,0.349955,2.061116,0.010829,0.025363,0.054304,0.00244,0.013408,0.594494,0.004881,"conf_10"
"90",30,17,1,50000,4.568179,2.688811,3.970981,4.452073,4.145125,5.857359,2.94998,3.784122,5.614448,3.730364,0.0185,0.007867,0.003263,0.001827,0.002205,0.004611,0.00244,0.013408,0.011602,0.004881,"conf_10"
"91",5,18,1,500,0.319114,16.294574,18.23025,2.321628,26.291886,19.26224,23.499942,38.911854,45.352786,13.587354,0.513461,0.179798,0.148633,3.028408,0.6271,0.819078,7.883344,0.116246,19.54501,2.07598,"conf_10"
"92",5,18,1,2000,0.286554,0.085983,0.079069,2.113248,0.051808,2.320186,23.499942,17.869444,3.250094,4.583081,0.33648,0.088861,0.093274,2.199609,0.551058,0.05376,7.179671,0.006414,19.544953,1.146012,"conf_10"
"93",5,18,1,5000,0.286554,0.085874,0.076879,2.103748,0.051191,2.319732,0.118378,0.365121,0.10144,1.804288,0.301515,0.088861,0.011056,2.199602,0.551057,0.053751,7.179637,0.006414,6.59794,1.146008,"conf_10"
"94",5,18,1,10000,0.286554,0.085874,0.028551,2.103748,0.051191,2.319732,0.094442,0.104029,0.10144,1.804255,0.210778,0.088861,0.011009,0.977042,0.294171,0.053751,0.113211,0.006414,6.597023,0.000674,"conf_10"
